YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2012,01,06,19,50,319,11.4,14.0,4.78,16.00,8.86,999,1021.9,10.4,10.6,999.0,99.0,99.00
2012,01,06,20,50,314,12.7,15.3,4.32,16.00,8.40,999,1020.6,10.4,10.6,999.0,99.0,99.00
2012,01,06,21,50,319,10.4,13.2,4.75,16.00,8.75,999,1020.4,10.5,10.7,999.0,99.0,99.00
2012,01,06,22,50,317,12.9,15.1,5.05,14.81,9.10,999,1020.3,10.6,10.8,999.0,99.0,99.00
2012,01,06,23,50,320,13.2,15.8,4.98,14.81,8.61,999,1020.5,10.6,10.8,999.0,99.0,99.00
2012,01,07,00,50,321,13.6,18.3,4.51,14.81,8.12,999,1020.5,10.5,10.8,999.0,99.0,99.00
2012,01,07,01,50,319,11.7,13.9,4.42,14.81,7.90,999,1020.7,10.7,10.8,999.0,99.0,99.00
2012,01,07,02,50,320,12.3,15.2,4.66,14.81,8.47,999,1020.7,10.6,10.8,999.0,99.0,99.00
2012,01,07,03,50,319,11.3,13.5,4.29,14.81,8.00,999,1020.9,10.7,10.8,999.0,99.0,99.00
2012,01,07,04,50,316,10.9,13.0,3.67,11.43,7.60,999,1021.1,10.8,10.8,999.0,99.0,99.00
2012,01,07,05,50,324,9.8,12.5,3.90,14.81,8.09,999,1021.6,10.7,10.7,999.0,99.0,99.00
2012,01,07,06,50,323,11.9,14.4,3.78,14.81,8.06,999,1021.5,10.8,10.7,999.0,99.0,99.00
2012,01,07,07,50,324,12.3,15.0,4.08,13.79,8.03,999,1021.2,10.8,10.6,999.0,99.0,99.00
2012,01,07,08,50,317,12.9,15.6,4.10,13.79,7.78,999,1020.9,10.8,10.6,999.0,99.0,99.00
2012,01,07,09,50,329,11.7,15.2,3.68,13.79,7.33,999,1021.2,10.9,10.7,999.0,99.0,99.00
2012,01,07,10,50,334,10.7,13.2,3.57,12.90,7.24,999,1021.9,11.0,10.7,999.0,99.0,99.00
2012,01,07,11,50,327,11.5,13.9,3.58,12.90,7.32,999,1021.7,10.8,10.7,999.0,99.0,99.00
2012,01,07,12,50,323,10.9,13.1,3.30,12.12,7.08,999,1021.8,10.8,10.7,999.0,99.0,99.00
2012,01,07,13,50,322,10.0,12.0,3.36,12.90,7.34,999,1022.2,10.7,10.7,999.0,99.0,99.00
2012,01,07,14,50,328,8.9,10.9,3.46,12.90,7.58,999,1022.8,10.6,10.7,999.0,99.0,99.00
2012,01,07,15,50,321,7.2,8.8,2.93,11.43,7.40,999,1023.6,10.7,10.7,999.0,99.0,99.00
2012,01,07,16,50,327,9.1,10.7,2.91,12.90,7.60,999,1024.2,10.7,10.7,999.0,99.0,99.00
2012,01,07,17,50,327,7.0,8.3,2.97,12.12,7.60,999,1025.0,10.9,10.7,999.0,99.0,99.00
2012,01,07,18,50,325,7.5,9.0,2.91,12.90,7.87,999,1024.9,11.0,10.7,999.0,99.0,99.00
2012,01,07,19,50,335,7.1,8.2,2.63,12.90,7.13,999,1024.3,11.2,10.7,999.0,99.0,99.00
2012,01,07,20,50,326,6.6,8.4,2.66,12.12,7.39,999,1023.5,11.2,10.7,999.0,99.0,99.00
2012,01,07,21,50,325,7.3,8.6,2.62,13.79,7.35,999,1022.7,11.2,10.8,999.0,99.0,99.00
2012,01,07,22,50,320,7.1,8.4,2.48,12.90,6.96,999,1021.9,11.3,10.8,999.0,99.0,99.00
2012,01,07,23,50,311,8.4,9.8,2.49,12.12,6.91,999,1021.7,11.2,10.7,999.0,99.0,99.00
2012,01,08,00,50,319,9.9,12.0,2.43,12.90,6.69,999,1022.0,10.9,10.7,999.0,99.0,99.00
2012,01,08,01,50,324,10.5,12.5,2.31,12.12,6.35,999,1021.9,11.1,10.8,999.0,99.0,99.00
2012,01,08,02,50,322,8.7,10.2,2.42,11.43,6.67,999,1022.2,11.4,10.9,999.0,99.0,99.00
2012,01,08,03,50,320,9.2,10.6,2.13,11.43,6.46,999,1022.1,11.1,10.8,999.0,99.0,99.00
2012,01,08,04,50,325,8.5,9.8,2.12,10.81,6.17,999,1022.1,11.0,10.8,999.0,99.0,99.00
2012,01,08,05,50,327,6.3,7.6,2.01,12.90,6.36,999,1022.4,11.1,10.7,999.0,99.0,99.00
2012,01,08,06,50,321,6.6,7.6,2.11,11.43,6.82,999,1022.2,10.9,10.7,999.0,99.0,99.00
2012,01,08,07,50,328,6.8,8.2,2.14,13.79,7.18,999,1021.7,11.0,10.7,999.0,99.0,99.00
2012,01,08,08,50,330,3.9,5.0,2.16,12.90,7.55,999,1021.8,11.4,10.7,999.0,99.0,99.00
2012,01,08,09,50,324,4.1,5.2,2.20,12.90,7.74,999,1021.6,11.7,10.7,999.0,99.0,99.00
2012,01,08,10,50,341,3.8,5.5,1.97,12.90,7.57,999,1022.0,11.3,10.7,999.0,99.0,99.00
